batch_size,seqlen,gemv_time
1024,2944,0.9253572991347626
1024,3072,0.9626607229841001
1024,3200,0.9988585328702375
1024,3328,1.035056342756375
1024,3456,1.0712541526425126
1024,3584,1.10745196252865
1024,3712,1.1436497724147876
1024,3840,1.1798475823009251
1024,3968,1.2160453921870626
1152,128,0.0993775456280875
1152,256,0.14262449214656253
1152,384,0.18587143866503744
1152,512,0.22911838518351244
1152,640,0.27236533170198757
1152,768,0.31561227822046245
1152,896,0.35885922473893755
1152,1024,0.4021061712574125
1152,1152,0.4453531177758875
1152,1280,0.48860006429436253
1152,1408,0.5318470108128375
1152,1536,0.5750939573313125
1152,1664,0.6181475560073094
1152,1792,0.6612011546833062
1152,1920,0.7042547533593031
1152,2048,0.7473083520352999
1152,2176,0.7892426442514344
1152,2304,0.8311769364675687
1152,2432,0.8731112286837032
1152,2560,0.9150455208998375
1152,2688,0.9569798131159718
1152,2816,0.9989141053321063
1152,2944,1.0408483975482408
1152,3072,1.0827826897643749
1152,3200,1.1233282835395175
1152,3328,1.1638738773146595
1152,3456,1.2044194710898017
1152,3584,1.2449650648649437
1152,3712,1.2855106586400862
1152,3840,1.326056252415228
1152,3968,1.3666018461903704
1280,128,0.10348330499039998
1280,256,0.151949842899475
1280,384,0.20041638080854998
1280,512,0.248882918717625
1280,640,0.2973494566267
1280,768,0.345815994535775
1280,896,0.39428253244484995
1280,1024,0.442749070353925
1280,1152,0.491215608263
1280,1280,0.539682146172075
1280,1408,0.58814868408115
1280,1536,0.636615221990225
1280,1664,0.6850572594629687
1280,1792,0.7334992969357126
1280,1920,0.7819413344084561
1280,2048,0.8303833718811999
1280,2176,0.8769485324641313
1280,2304,0.9235136930470625
1280,2432,0.9700788536299937
1280,2560,1.016644014212925
1280,2688,1.0632091747958563
1280,2816,1.1097743353787877
1280,2944,1.1563394959617188
1280,3072,1.2029046565446502
1280,3200,1.2477980342087969
1280,3328,1.2926914118729438
1280,3456,1.3375847895370907
1280,3584,1.3824781672012374
1280,3712,1.4273715448653843
