blocks,batch_size,seqlen,time,BW
20,64,512,0.0010932720194216,492035089569.5198
20,64,768,0.0014078274041079,572774578508.0449
20,64,1024,0.0017309603810722,620931196203.4532
20,64,2048,0.0032365535151573,663843652804.7076
20,128,256,0.0015217622066322,354179701434.9412
20,128,384,0.0018388706003041,439083008813.3643
20,128,512,0.0021627321551586,497452440161.784
20,128,768,0.0028102797600958,573870087562.0364
20,128,1024,0.0034571299503589,621791667327.0579
20,128,2048,0.0064863441724043,662488899414.5276
20,256,256,0.0030170988304069,357281820912.248
20,256,384,0.0036710848930108,439879140652.50574
20,256,512,0.0043161071045645,498530902934.3682
20,256,768,0.0056055238935682,575409371406.1036
20,256,1024,0.0068948304489867,623543859389.8732
20,256,2048,0.0129690649570562,662673989871.8741
20,384,256,0.0045354159243471,356512362034.9619
20,384,384,0.0055066219371753,439879571838.2831
20,384,512,0.006471062984222,498769547425.1411
20,384,768,0.0084051626523335,575623181623.5868
20,384,1024,0.0103541028159005,622829799419.8663
20,384,2048,0.0195045219568105,660943808648.3627
20,512,256,0.0060484225606343,356441551890.1641
20,512,384,0.0073358320913453,440259167846.8636
20,512,512,0.0086275530683583,498800239871.35767
20,512,768,0.0112097963121202,575473610437.072
20,512,1024,0.0138621094420149,620284986781.215
20,512,2048,0.0260583423614501,659616939465.3478
24,32,256,0.0003252676329204,414256785374.554
24,32,384,0.0003986886860199,506295310296.0167
24,32,512,0.0004662664792361,576846314237.8099
24,32,768,0.0006077006894982,663457986748.2355
24,32,1024,0.0007409447236238,725295200661.7219
24,32,2048,0.0013721720076854,782906771150.4438
24,64,256,0.0006465647106638,416800730932.7029
24,64,384,0.0007880284058746,512301862458.7796
24,64,512,0.0009226612793492,583018067453.0887
24,64,768,0.0011896094861215,677842399045.5515
24,64,1024,0.0014577461112692,737307609117.3215
24,64,2048,0.0027274963739125,787742755059.2518
24,128,256,0.0012811196864744,420707986685.6232
24,128,384,0.0015488998535616,521284080531.9665
24,128,512,0.0018241591970648,589782070408.7219
24,128,768,0.0023721711737284,679856289403.0844
24,128,1024,0.0029095530995102,738812636332.9851
24,128,2048,0.0054216065304253,792593669032.4255
24,256,256,0.002538168531989,424697789139.80975
24,256,384,0.0030876191045031,523002874818.613
24,256,512,0.003630963002426,592601128285.3414
24,256,768,0.0047194614680308,683440473420.3319
24,256,1024,0.0058058681433228,740497214519.8354
24,256,2048,0.0108343339473643,793243226741.2925
24,384,256,0.0038146249724156,423877014304.7753
24,384,384,0.0046342257835246,522687200224.7783
24,384,512,0.005449427490649,592276741279.4039
24,384,768,0.007084608930937,682917930285.8295
24,384,1024,0.0087305533803742,738652351006.3643
24,384,2048,0.016329309272766,789463461844.046
24,512,256,0.0050894351824365,423604790456.8984
24,512,384,0.0061749854264435,523024284101.0375
24,512,512,0.0072594773112863,592801017961.6415
24,512,768,0.009449993619379,682639821340.3148
24,512,1024,0.0116810224274309,736104945043.8458
24,512,2048,0.0218790491070066,785615679727.8497
28,32,256,0.0002838509777959,474700933025.65234
28,32,384,0.0003483612314762,579439368567.5719
28,32,512,0.0004070791095081,660717029485.9674
28,32,768,0.000530461077362,760063071931.7684
28,32,1024,0.0006469619942751,830657220602.443
28,32,2048,0.0011993323453038,895733997508.2622
28,64,256,0.0005598726294861,481339200752.3676
28,64,384,0.0006824327968292,591572418376.9126
28,64,512,0.0007998680744581,672521148396.121
28,64,768,0.001031561176793,781696486976.0071
28,64,1024,0.001269481587358,846650562484.1702
28,64,2048,0.0023838183879852,901312582715.6406
28,128,256,0.0011105745354142,485313922490.52704
28,128,384,0.0013407566039744,602209851964.6115
28,128,512,0.0015777188624401,681906272158.0355
28,128,768,0.0020548699722915,784835787055.431
28,128,1024,0.0025201214267089,852980564038.6213
28,128,2048,0.0047398158019443,906602954958.1284
28,256,256,0.0021981732123776,490386543667.33655
28,256,384,0.002675668220469,603525375697.3407
28,256,512,0.0031490898252283,683280849838.5687
28,256,768,0.0040930196172822,788041905878.2032
28,256,1024,0.0050417561674118,852724535904.5232
28,256,2048,0.0094359282187695,910801971013.7932
28,384,256,0.00330078315578,489863092390.2252
28,384,384,0.0040123924179077,603692323111.082
28,384,512,0.0047179254360918,684107707872.8864
28,384,768,0.0061377686233055,788267978957.2058
28,384,1024,0.0075773195936566,851071899540.6587
28,384,2048,0.0142229919955134,906377014911.2468
28,512,256,0.0043989153828537,490100157962.4357
28,512,384,0.0053405303752168,604746552325.1237
28,512,512,0.0062801023960113,685247670919.0621
28,512,768,0.0081840061526144,788237671832.5382
28,512,1024,0.0101517695903778,846991088149.7853
28,512,2048,0.0189472238046151,907179025974.9408
32,32,256,0.0002496726339283,539683992914.6965
32,32,384,0.000308468935703,654374520857.0857
32,32,512,0.0003606389598633,745798790296.9238
32,32,768,0.0004697103263226,858367068819.8853
32,32,1024,0.0005749733981986,934658287989.702
32,32,2048,0.0010733673309051,1000852853509.18
32,64,256,0.0004951725182068,544231826467.014
32,64,384,0.0006050223482151,667261996504.6713
32,64,512,0.0007112245215223,756340901813.3252
32,64,768,0.0009189432446016,877494614316.0195
32,64,1024,0.0011320893729351,949401456895.0068
32,64,2048,0.0021294145381197,1008993537677.8308
32,128,256,0.0009798025680222,550087641725.5765
32,128,384,0.0011913557441461,677729418746.0925
32,128,512,0.0014039009777864,766333527095.5775
32,128,768,0.0018252127309785,883587685220.335
32,128,1024,0.0022472666657024,956546291905.2748
32,128,2048,0.0042441068584636,1012493595308.6686
32,256,256,0.001945381714392,554109538516.3809
32,256,384,0.0023699872606738,681368079396.7063
32,256,512,0.0027974822148264,769160483164.4978
32,256,768,0.0036378639072611,886638714978.3049
32,256,1024,0.0044818285405635,959257845115.9086
32,256,2048,0.0084795010938482,1013533924328.9894
32,384,256,0.0029230913478274,553158164284.4496
32,384,384,0.0035537375625989,681606465680.7593
32,384,512,0.0041850026965141,771222718372.0531
32,384,768,0.0054496055737785,887808558344.0406
32,384,1024,0.0067178818953664,959951943252.8232
32,384,2048,0.0127122175216674,1014094748302.3416
32,512,256,0.0039025354440822,552438063636.0929
32,512,384,0.00473075439795,682696048097.4178
32,512,512,0.0055771477487352,771617632144.6624
32,512,768,0.0072631875051968,888169546963.2767
32,512,1024,0.0089552640233721,960156880864.6084
32,512,2048,0.0169511594136556,1014002854704.6276
44,32,256,0.0001922151672716,701007760795.286
44,32,384,0.0002372972650612,850638594371.8188
44,32,512,0.0002796696067366,961720878927.082
44,32,768,0.0003665452060459,1099956756628.2793
44,32,1024,0.0004483815186852,1198541040620.578
44,32,2048,0.0008718006163835,1232257394421.668
44,64,256,0.0003735417935819,721441746627.0693
44,64,384,0.0004575471866327,882331772097.7865
44,64,512,0.0005389387145501,998124984301.7454
44,64,768,0.0006958140867097,1158883907931.6008
44,64,1024,0.0008594526606542,1250571845553.232
44,64,2048,0.0016905615609593,1270918230733.183
44,128,256,0.0007305260290058,737793401740.2415
44,128,384,0.0008854827086482,911838060883.8604
44,128,512,0.0010455510091184,1028985079271.3776
44,128,768,0.0013642303041467,1182157797769.0652
44,128,1024,0.0016841380880183,1276388564152.371
44,128,2048,0.0033547800784571,1280897975874.5574
44,256,256,0.0014394350230008,748873375161.2682
44,256,384,0.0017614206214186,916779131777.9856
44,256,512,0.0020775643453558,1035690074682.8402
44,256,768,0.0027115851892007,1189514898092.0396
44,256,1024,0.0033560268021113,1281047334096.171
44,256,2048,0.0066887127167799,1284890289642.674
44,384,256,0.0021621318685597,747841455700.4279
44,384,384,0.0026382551971234,918125927560.3864
44,384,512,0.0031086741940359,1038246195819.4908
44,384,768,0.0040644624733155,1190368099044.9004
44,384,1024,0.0050785005603517,1269832247405.1855
44,384,2048,0.0100615862999643,1281248566942.7346
44,512,256,0.0028866560226199,746853489680.1796
44,512,384,0.003513623295964,919184289252.0016
44,512,512,0.0041551550518382,1035683503097.2275
44,512,768,0.0054312207032652,1187751761242.4958
44,512,1024,0.0068337600020801,1258232418080.6333
44,512,2048,0.0134734968940416,1275728503978.8877
60,32,256,0.0001524368173994,883935562935.1028
60,32,384,0.0001861018016218,1084644050949.1012
60,32,512,0.0002197571137635,1223915328126.556
60,32,768,0.0002937976807599,1372318103250.8416
60,32,1024,0.000376561344068,1427134411074.684
60,32,2048,0.0007810915547112,1375360864575.1104
60,64,256,0.0002860175612556,942210131492.9536
60,64,384,0.000349364637667,1155550323283.53
60,64,512,0.0004156403055862,1294215668620.6353
60,64,768,0.0005432495356422,1484341347934.4622
60,64,1024,0.000695181090681,1546082473197.074
60,64,2048,0.0014475839996541,1484242371090.994
60,128,256,0.0005560367174568,969319591815.996
60,128,384,0.000677063115355,1192528167151.1548
60,128,512,0.0008049071206585,1336621779565.9846
60,128,768,0.0010583295812661,1523849961814.9536
60,128,1024,0.0013512020269526,1590890594538.2295
60,128,2048,0.0028080013350894,1530316584362.7292
60,256,256,0.0010896766877248,989242567215.6936
60,256,384,0.0013353260590235,1209317871906.767
60,256,512,0.0015839330583935,1358461937894.2063
60,256,768,0.0020762972583016,1553472638420.941
60,256,1024,0.0026780684356947,1605347022016.863
60,256,2048,0.005591746032238,1536954999467.3647
60,384,256,0.00162663974292,994031930572.038
60,384,384,0.001992826400525,1215484951103.515
60,384,512,0.0023639142211865,1365349523714.9417
60,384,768,0.0031126959862498,1554345971907.4895
60,384,1024,0.0040659900051541,1586045162881.677
60,384,2048,0.0083737177290022,1539506518514.5752
60,512,256,0.0021686925969225,994105447244.7274
60,512,384,0.0026506212590232,1218456737644.2527
60,512,512,0.0031607926422968,1361502011366.6123
60,512,768,0.0041982101011471,1536593405422.293
60,512,1024,0.0054575116996523,1575527244870.1653
60,512,2048,0.0111868032000281,1536500082164.3755
64,32,256,0.0001436867525399,937764418905.189
64,32,384,0.0001765422021049,1143376538829.0889
64,32,512,0.0002078343994158,1294126962408.1982
64,32,768,0.0002912213318567,1384458595218.4026
64,32,1024,0.0003714930541453,1446604844971.5298
64,32,2048,0.0007647587555978,1404734170268.1716
64,64,256,0.000270606804514,995867951229.0494
64,64,384,0.000332055546388,1215785805692.4158
64,64,512,0.0003929920014137,1368801894351.222
64,64,768,0.0005417206141811,1488530668560.467
64,64,1024,0.0006996732836152,1536155981898.352
64,64,2048,0.0014524982863238,1479220683583.5798
64,128,256,0.0005247715922135,1027070237789.6729
64,128,384,0.0006405241112083,1260556506572.0466
64,128,512,0.0007610203618925,1413702499791.8284
64,128,768,0.0010488468365392,1537627264359.4863
64,128,1024,0.0013667745172149,1572764614005.3962
64,128,2048,0.0028447534574026,1510546019662.2554
64,256,256,0.0010272059693932,1049404497363.5833
64,256,384,0.0012663455129412,1275192000522.3164
64,256,512,0.0015009821475698,1433536551706.3013
64,256,768,0.0020767999922527,1553096587072.4944
64,256,1024,0.0027524594013413,1561959164921.702
64,256,2048,0.0057332836962663,1499012167424.546
64,384,256,0.0015373129775187,1051790928487.2706
64,384,384,0.0018920202127085,1280245572288.2302
64,384,512,0.002248227105506,1435606370946.9275
